Age,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome
52,8,4,433,3,2,2,2,2,15,3,1,0,11,3,2,8,2,7,7,4941
27,5,3,434,3,3,1,2,1,12,3,2,0,4,2,2,4,3,1,2,2478
32,8,2,436,3,2,2,2,1,11,3,4,0,13,2,3,13,12,11,9,5228
27,2,3,437,4,3,2,3,1,11,3,1,0,5,3,3,5,4,0,4,4478
31,7,3,438,4,3,2,4,4,12,3,4,3,13,3,3,7,7,1,7,7547
32,2,4,439,1,4,2,4,7,16,3,3,0,10,0,2,7,7,0,7,5055
28,2,4,440,1,1,1,4,5,13,3,4,0,5,4,2,3,2,2,2,3464
30,28,2,441,4,3,2,4,1,13,3,4,2,11,2,3,10,8,1,9,5775
31,7,2,442,3,2,3,3,1,24,4,1,1,10,2,3,10,9,8,9,8943
39,7,2,444,3,2,5,4,1,15,3,1,1,21,2,3,21,9,13,3,19272
39,3,2,445,4,3,2,3,4,18,3,1,0,12,3,2,1,0,0,0,5238
33,10,3,446,2,2,2,4,3,14,3,3,0,9,6,2,7,7,0,1,4682
47,5,5,447,4,3,5,3,4,11,3,2,1,21,2,3,3,2,1,1,18300
43,10,4,448,3,2,2,3,1,11,3,2,1,9,3,4,9,7,0,0,5257
27,1,1,449,3,3,2,2,0,13,3,4,1,6,0,3,5,4,1,4,6349
54,20,4,450,4,3,2,3,3,12,3,4,0,20,4,2,4,3,0,3,4869
43,7,3,451,3,3,3,1,8,16,3,1,1,10,1,2,1,0,0,0,9985
45,8,4,452,4,3,2,4,9,14,3,1,2,12,3,3,10,9,9,8,3697
40,1,2,453,2,1,2,4,2,22,4,3,3,6,2,2,4,3,0,2,7457
29,8,4,454,2,1,1,1,1,11,3,4,0,7,4,2,7,7,0,7,2119
29,9,5,455,2,2,1,4,0,17,3,3,0,4,2,3,3,2,2,2,3983
30,5,3,456,4,2,2,3,1,13,3,3,3,10,2,3,10,9,1,2,6118
27,8,4,458,2,3,2,2,1,18,3,1,1,8,3,3,8,7,0,7,6214
37,5,2,460,4,3,2,4,7,16,3,3,2,8,2,2,6,2,0,4,6347
38,15,2,461,3,2,3,4,0,14,3,2,1,12,3,3,11,10,2,9,11510
31,7,4,462,3,3,3,4,1,14,3,3,0,11,2,2,11,9,4,10,7143
29,10,1,463,4,2,2,2,1,14,3,1,2,7,2,3,7,7,1,7,8268
35,5,4,464,3,3,3,2,0,13,3,4,0,17,5,3,16,6,0,13,8095
23,26,1,465,3,3,1,4,1,12,3,3,2,4,2,2,4,2,0,2,2904
41,6,3,466,4,2,2,2,6,15,3,4,0,8,3,3,5,4,1,2,6032
47,4,1,467,2,3,2,3,3,19,3,1,0,5,3,3,0,0,0,0,2976
42,23,5,468,1,3,4,4,2,14,3,2,0,16,2,3,1,0,0,0,15992
29,2,3,469,4,3,2,3,1,14,3,1,1,4,3,2,4,3,0,2,4649
42,2,1,470,3,3,1,3,0,11,3,3,1,4,5,3,3,2,1,0,2696
32,2,3,471,3,3,1,2,1,13,3,3,1,8,4,3,8,0,0,7,2370
48,29,1,473,1,3,3,3,3,21,4,2,1,15,3,1,0,0,0,0,12504
37,6,3,474,3,4,2,1,4,13,3,1,2,13,2,3,7,7,6,7,5974
30,25,2,475,4,3,2,3,7,12,3,2,1,4,2,4,2,2,2,2,4736
26,1,3,476,3,3,2,3,1,17,3,2,1,8,3,3,8,7,7,7,5296
42,2,4,477,1,2,2,4,3,23,4,2,0,14,6,3,1,0,0,0,6781
21,1,1,478,1,2,1,2,1,11,3,3,0,3,3,3,3,2,1,2,2174
36,1,5,479,4,3,2,4,4,15,3,2,0,7,6,3,1,0,0,0,6653
36,3,4,481,1,2,3,4,4,11,3,1,1,16,2,3,13,9,1,12,9699
57,1,4,482,4,3,2,3,2,11,3,3,0,15,2,3,3,2,1,2,6755
40,10,4,483,4,4,1,3,3,13,3,3,1,10,3,3,7,7,1,7,2213
21,9,2,484,1,3,1,4,1,24,4,3,0,3,3,2,3,2,2,2,2610
33,5,3,485,4,3,1,3,1,13,3,2,0,1,2,3,1,0,0,0,2851
37,10,3,486,3,3,1,1,6,20,4,2,1,17,3,3,5,4,0,3,3452
46,7,4,487,3,3,2,3,2,14,3,3,0,7,2,4,1,0,0,0,5258
41,4,3,488,1,3,2,2,1,18,3,3,0,8,5,3,8,7,7,7,9355
50,10,3,491,4,2,3,4,6,15,3,4,0,20,2,3,4,3,1,3,10496
40,22,2,492,3,2,2,3,2,12,3,1,2,8,6,3,6,4,1,0,6380
31,9,4,493,3,2,1,2,0,16,3,4,0,3,5,3,2,2,2,2,2657
21,12,3,494,3,4,1,2,1,15,3,4,0,1,0,3,1,0,0,0,2716
29,23,3,495,4,3,1,4,9,16,3,4,0,6,4,3,3,2,1,2,2201
35,9,4,496,3,2,2,2,9,19,3,3,0,10,5,3,1,1,0,0,6540
27,1,2,497,4,3,1,2,1,11,3,2,1,5,2,3,5,2,0,4,3816
28,9,4,498,2,3,2,4,1,16,3,4,0,7,1,3,7,5,0,7,5253
49,7,3,499,2,2,3,3,8,24,4,3,0,26,2,3,5,2,0,0,10965
51,14,2,500,3,3,2,4,4,11,3,3,1,18,2,2,7,7,0,7,4936
36,2,3,501,4,3,1,3,4,13,3,2,1,6,3,3,2,2,2,2,2543
34,19,3,502,1,4,2,4,8,13,3,2,0,9,3,2,5,2,0,4,5304
55,2,3,505,3,3,4,4,2,13,3,3,0,30,2,3,5,4,1,2,16659
24,10,4,507,4,3,2,3,1,12,3,4,1,5,2,4,5,2,0,3,4260
30,2,1,508,3,3,1,2,1,18,3,1,1,1,3,3,1,0,0,0,2476
26,3,1,510,3,3,1,1,0,22,4,3,0,7,2,3,6,4,0,4,3102
22,11,3,511,1,3,1,2,1,13,3,4,1,2,1,3,2,1,1,2,2244
36,2,2,513,2,2,3,3,1,13,3,2,2,10,2,3,10,9,9,0,7596
30,4,3,514,3,3,1,4,9,23,4,3,0,3,4,3,1,0,0,0,2285
37,14,3,515,4,3,1,1,1,12,3,3,1,18,2,2,18,7,12,17,3034
40,2,2,516,4,3,2,2,7,12,3,3,2,8,5,3,5,4,1,3,5715
42,1,4,517,2,3,1,1,3,16,3,2,1,8,5,3,5,2,1,2,2576
37,10,4,518,3,3,2,2,2,12,3,4,0,18,2,2,1,0,0,1,4197
43,12,3,520,1,2,4,2,1,11,3,3,1,25,3,3,25,10,3,9,14336
40,2,3,521,2,2,2,3,6,22,4,2,1,20,3,3,1,0,0,0,3448
54,5,2,522,1,3,5,1,4,11,3,3,1,24,4,2,4,2,1,2,19406
34,4,4,523,3,3,2,3,9,15,3,1,1,6,3,3,3,2,1,2,6538
31,7,2,524,2,3,2,1,1,12,3,2,1,13,5,1,13,10,3,12,4306
43,21,3,525,4,3,1,4,7,20,4,1,1,8,1,3,3,2,1,2,2258
43,8,4,526,3,3,2,3,4,14,3,4,0,8,3,3,5,2,0,2,4522
25,4,2,527,2,2,2,4,1,11,3,2,0,5,3,3,5,4,1,3,4487
37,25,5,529,2,3,2,3,3,15,3,1,2,15,2,3,13,11,10,7,4449
31,1,2,530,4,2,1,1,1,12,3,3,1,4,3,3,4,2,3,2,2218
39,1,1,531,2,3,5,3,1,14,3,3,1,21,3,3,21,8,1,6,19197
56,6,3,532,3,4,4,1,9,11,3,4,3,36,0,2,7,7,7,7,13212
30,12,3,533,2,3,2,3,0,11,3,2,0,6,6,3,5,4,4,4,6577
41,1,3,534,2,4,3,1,1,16,3,3,1,10,2,3,10,7,0,7,8392
28,17,2,536,3,3,2,1,1,12,3,4,1,10,2,3,10,0,1,8,4558
25,3,3,538,1,3,1,1,5,13,3,3,1,6,5,3,2,2,0,2,4031
52,3,3,543,4,2,3,3,2,14,3,3,0,28,4,3,5,4,0,4,7969
45,10,2,544,1,3,1,4,3,21,4,4,2,8,3,2,2,2,0,2,2654
52,4,2,546,4,3,4,4,2,13,3,4,0,31,2,1,5,2,1,4,16555
42,29,2,547,1,3,2,3,2,11,3,2,1,19,3,3,5,4,0,2,4556
30,2,3,548,3,1,2,4,2,20,4,3,0,11,2,3,5,4,0,2,6091
60,7,3,549,1,3,5,1,5,11,3,4,0,33,5,1,29,8,11,10,19566
46,18,3,550,3,3,2,3,2,14,3,3,1,19,5,2,10,7,0,8,4810
42,28,4,551,4,2,2,4,0,11,3,4,3,7,4,4,6,5,0,4,4523
24,1,1,554,1,3,1,2,1,16,3,2,0,6,4,3,5,3,1,4,3202
34,6,2,555,4,1,1,3,0,16,3,4,1,3,3,2,2,2,1,0,2351
38,2,2,556,4,3,1,4,1,23,4,3,1,1,3,3,1,0,0,0,1702
40,2,4,558,3,3,5,3,0,14,3,4,0,21,2,3,20,15,1,12,18041
26,23,3,560,1,3,1,4,1,22,4,2,2,3,3,1,3,2,0,2,2886
30,3,3,562,3,3,1,4,4,15,3,3,1,9,3,1,5,3,1,4,2097
29,3,4,564,2,2,3,3,1,18,3,3,0,10,2,3,10,2,0,7,11935
29,25,5,565,3,2,1,2,5,16,3,2,0,6,2,4,2,2,1,1,2546
19,2,2,566,1,2,1,4,1,12,3,3,0,1,3,4,1,0,0,0,2564
30,22,4,567,3,3,3,1,0,11,3,3,0,10,3,3,9,8,7,8,8412
57,29,3,568,1,2,4,4,3,12,3,3,1,32,3,2,1,0,0,0,14118
50,29,4,569,2,2,4,3,0,15,3,2,1,28,2,3,27,10,15,7,17046
30,2,3,571,3,3,1,4,0,14,3,3,0,12,2,2,11,7,6,7,2564
60,28,3,573,3,2,3,1,4,19,3,4,0,22,5,4,18,13,13,11,10266
47,2,2,574,1,3,2,4,5,13,3,3,3,20,2,3,5,0,0,4,5070
46,2,3,575,1,3,4,3,6,13,3,3,0,26,2,1,3,2,0,1,17861
35,22,3,577,4,1,1,3,0,15,3,3,0,6,2,3,5,4,4,3,4230
54,8,4,578,3,3,2,3,7,11,3,3,0,19,3,3,1,0,0,0,3780
34,2,4,579,4,2,1,3,3,12,3,3,1,14,3,3,7,3,5,7,2768
46,10,3,580,3,2,3,4,2,19,3,3,1,15,3,3,3,2,1,2,9071
31,9,1,581,3,3,3,2,1,25,4,4,1,13,6,4,13,8,0,8,10648
33,15,1,582,2,3,3,3,7,12,3,4,0,15,2,4,7,6,7,7,13610
33,10,1,584,1,1,1,4,7,13,3,1,3,8,2,3,4,3,1,3,3408
30,7,1,585,4,3,1,2,0,14,3,1,0,4,3,3,3,2,1,2,2983
35,16,3,586,4,3,3,3,4,12,3,3,0,10,2,3,8,7,0,0,7632
31,20,3,587,1,3,3,3,3,12,3,1,0,12,2,3,1,0,0,0,9824
34,23,3,590,2,3,3,1,9,15,3,3,3,11,2,3,3,2,0,2,9950
42,5,2,591,2,3,1,3,4,17,3,4,1,8,4,3,2,2,2,0,2093
36,10,4,592,2,3,3,4,1,14,3,4,0,10,3,2,10,3,9,7,9980
22,4,1,593,3,2,1,3,5,16,3,3,0,4,3,3,2,2,1,2,3894
48,2,5,595,2,3,2,4,2,14,3,1,1,14,2,3,9,7,6,7,4051
55,18,5,597,1,3,4,2,3,23,4,4,0,37,2,3,10,9,7,7,16835
41,10,2,599,4,3,2,4,7,14,3,4,0,16,3,3,14,3,1,10,6230
35,1,3,600,2,3,2,3,9,11,3,3,0,15,2,3,11,9,6,9,4717
40,6,3,601,2,3,4,3,7,15,3,3,0,22,3,3,20,6,5,13,13237
39,8,1,602,3,3,1,3,1,11,3,1,1,8,3,3,8,3,0,7,3755
31,2,1,604,2,3,2,4,4,13,3,3,0,10,2,4,6,5,0,5,6582
42,24,3,605,4,3,3,1,1,21,4,4,1,10,5,2,10,9,5,8,7406
45,2,3,606,4,3,2,2,0,19,3,2,1,9,3,4,8,7,3,7,4805
26,17,4,608,2,3,1,3,0,11,3,2,1,8,2,2,7,7,1,0,2741
29,19,3,611,4,3,2,4,4,12,3,2,2,8,2,4,3,2,1,2,4262
33,1,5,612,1,4,4,3,4,19,3,3,1,10,2,3,6,1,0,5,16184
31,7,3,613,3,2,3,4,9,21,4,3,1,10,3,2,5,4,0,1,11557
18,5,3,614,2,3,1,2,1,14,3,4,0,0,3,3,0,0,0,0,1878
40,28,3,615,3,1,3,1,3,15,3,3,1,20,2,3,1,0,0,1,10932
41,2,4,616,1,2,2,3,2,17,3,1,0,10,3,3,8,7,0,7,6811
26,29,2,618,1,3,2,3,5,12,3,1,2,8,5,3,0,0,0,0,4306
35,1,3,620,1,3,2,3,1,16,3,4,0,5,3,3,5,4,0,3,4859
34,21,4,621,4,4,2,4,1,12,3,4,0,10,3,3,10,7,5,7,5337
26,24,3,622,3,1,1,4,1,18,3,2,0,1,3,1,1,0,0,0,2340
37,1,3,623,2,3,3,4,4,17,3,4,0,12,3,4,6,5,1,2,7491
46,18,1,624,1,3,3,3,5,11,3,4,0,28,3,2,2,2,1,2,10527
41,2,5,625,2,3,4,1,7,16,3,2,1,22,2,3,18,16,11,8,16595
37,9,4,626,1,3,3,2,1,13,3,4,1,9,6,3,9,5,7,7,8834
52,6,2,630,4,3,2,1,3,12,3,2,2,18,3,3,10,9,6,9,5577
32,11,4,631,4,4,2,3,8,12,3,4,0,6,2,3,4,2,1,2,4707
24,24,3,632,4,3,1,4,0,13,3,3,2,3,3,3,2,2,2,1,2400
38,10,3,634,3,3,2,3,3,19,3,3,1,18,4,3,1,0,0,0,9824
37,1,4,635,2,3,2,2,6,12,3,2,1,8,2,2,6,5,4,3,6447
49,18,4,638,4,2,5,3,1,17,3,3,1,31,5,3,31,9,0,9,19502
24,23,3,639,2,4,1,4,1,11,3,2,2,6,3,3,6,5,1,4,2725
26,28,2,641,1,3,2,2,1,20,4,4,2,6,5,4,5,3,1,4,6272
24,17,2,643,4,2,1,2,1,21,4,4,1,1,2,3,1,0,0,0,2127
50,3,3,644,1,3,5,2,1,11,3,3,1,32,2,3,32,5,10,7,18200
25,13,1,645,2,3,1,3,1,11,3,3,0,7,1,3,7,4,0,6,2096
24,7,3,647,1,3,1,3,1,16,3,4,1,6,4,3,6,3,1,2,2886
30,12,4,648,2,2,1,1,1,18,3,3,1,1,2,4,1,0,0,0,2033
34,1,2,649,2,2,1,4,1,13,3,4,1,6,3,3,6,5,1,3,3622
31,13,4,650,2,3,2,1,2,17,3,3,0,9,2,1,3,1,1,2,4233
35,25,2,652,1,2,2,4,4,14,3,4,0,9,3,3,3,2,0,2,3681
31,6,4,653,1,4,2,4,4,22,4,4,2,13,4,4,7,7,5,7,5460
27,6,4,655,1,2,1,3,0,12,3,3,2,6,5,2,5,3,0,3,2187
37,2,3,656,4,3,2,3,4,11,3,3,1,17,3,2,3,0,1,0,9602
20,1,3,657,4,2,1,2,1,13,3,4,0,1,0,4,1,0,0,0,2836
42,2,4,659,3,3,2,4,1,13,3,2,2,10,4,3,10,2,2,2,4089
43,6,4,661,2,2,4,4,4,14,3,3,1,21,3,2,1,0,0,0,16627
38,1,1,662,3,3,1,1,3,17,3,4,0,8,3,2,0,0,0,0,2619
43,9,5,663,4,3,2,3,3,13,3,2,1,10,3,3,8,7,4,7,5679
48,1,4,664,4,2,4,1,7,11,3,1,1,21,3,1,3,2,0,2,15402
44,1,4,665,1,2,2,3,4,11,3,2,0,10,1,4,2,2,0,2,5985
34,14,3,666,3,3,1,3,1,18,3,4,2,8,3,3,8,2,0,6,2579
27,2,1,667,3,3,1,1,0,11,3,2,1,5,3,3,4,3,0,2,3041
21,22,1,669,3,3,1,3,1,11,3,3,0,3,2,3,3,2,1,2,3447
44,3,4,671,4,3,5,4,4,12,3,1,1,26,2,4,2,2,0,1,19513
22,6,1,675,1,3,1,3,0,20,4,4,0,3,3,3,2,2,2,2,2773
33,8,4,677,3,3,2,3,0,12,3,4,0,6,3,3,5,0,1,2,7104
32,9,4,679,1,3,2,4,1,12,3,4,1,6,2,2,6,4,0,5,6322
30,3,3,680,3,3,1,3,1,20,4,3,1,1,2,3,1,0,0,0,2083
53,1,1,682,4,3,2,1,7,20,4,4,0,18,2,4,14,7,8,10,8381
34,1,5,683,2,3,1,4,1,12,3,4,1,10,4,2,10,9,8,8,2691
45,26,4,684,1,3,2,1,2,14,3,4,2,5,4,3,1,1,0,0,4286
26,6,3,686,3,3,1,4,1,13,3,3,1,3,2,3,3,2,0,2,2659
37,3,3,689,3,3,3,3,1,15,3,3,1,10,2,3,10,7,7,8,9434
29,3,2,690,2,3,2,3,1,14,3,1,1,6,5,2,6,0,1,2,5561
35,6,4,691,2,1,2,4,1,13,3,2,0,17,3,3,17,11,11,8,6646
33,6,3,692,3,3,2,4,3,23,4,3,1,15,2,1,13,11,4,7,7725
54,19,4,698,3,3,3,2,2,15,3,3,1,16,1,4,9,7,7,1,10725
36,9,2,699,2,2,2,2,2,11,3,3,1,13,2,3,3,2,0,2,8847
27,3,4,700,1,2,1,4,0,13,3,4,0,5,0,3,4,2,1,1,2045
20,10,1,701,4,3,1,3,1,11,3,4,0,1,5,3,1,0,1,1,1009
33,3,3,702,1,3,1,1,1,11,3,1,0,10,3,3,10,8,9,7,3348
35,3,3,704,3,2,1,3,1,18,3,3,2,1,3,3,1,0,0,0,1281
23,4,3,705,1,4,1,1,2,16,3,1,1,5,3,4,3,2,0,2,2819
25,8,3,707,4,4,2,2,0,22,4,3,1,4,4,3,3,2,1,2,4851
38,7,4,709,4,2,2,4,0,20,4,1,0,8,2,3,7,7,0,5,4028
29,1,4,710,2,1,1,4,1,18,3,4,1,10,5,3,10,7,2,8,2720
48,2,1,712,2,4,2,2,3,12,3,4,0,12,3,3,2,2,2,2,8120
27,3,1,714,4,4,2,4,1,20,4,2,2,6,3,3,6,5,0,4,4647
37,10,2,715,4,4,1,4,3,17,3,1,0,4,2,3,1,0,0,0,4680
50,28,1,716,4,4,1,3,1,11,3,3,3,20,3,3,20,8,3,8,3221
34,9,3,717,4,2,3,2,1,14,3,2,0,9,3,4,8,7,7,7,8621
24,3,2,720,1,3,2,3,9,14,3,1,0,4,3,3,2,2,2,0,4577
39,2,4,721,4,2,2,3,1,11,3,1,0,20,4,3,20,7,11,10,4553
32,10,3,722,4,3,2,4,1,12,3,4,0,10,2,2,10,7,0,8,5396
50,8,2,723,2,3,2,3,3,14,3,1,1,18,4,3,4,3,1,3,6796
38,1,4,724,2,4,2,4,0,13,3,3,0,10,4,2,9,7,1,8,7625
27,1,2,725,3,3,3,1,1,11,3,4,0,9,3,3,9,7,0,7,7412
32,3,2,727,3,3,3,4,3,15,3,4,0,10,6,3,7,7,7,7,11159
47,14,4,728,4,3,2,1,2,12,3,4,0,20,2,3,7,7,1,7,4960
40,5,4,729,4,2,3,1,5,21,4,3,1,20,2,3,18,13,1,12,10475
53,7,3,730,3,4,4,3,3,19,3,3,0,32,3,3,5,1,1,3,14814
41,10,4,731,2,2,5,4,3,15,3,2,3,23,2,2,21,6,12,6,19141
60,16,4,732,1,3,2,1,8,14,3,4,0,10,1,3,2,2,2,2,5405
27,10,2,733,4,3,3,1,1,21,4,3,2,9,4,2,9,7,1,7,8793
41,1,3,734,4,2,5,3,1,12,3,2,1,22,3,3,22,7,2,10,19189
50,8,4,738,4,3,1,2,7,15,3,4,1,4,2,3,2,2,2,2,3875
28,1,2,741,1,1,1,2,7,13,3,4,0,10,4,3,7,7,3,7,2216
36,8,3,742,1,4,3,1,9,14,3,1,1,10,2,3,8,7,0,5,11713
38,1,3,743,3,3,3,3,4,14,3,4,0,10,4,4,1,0,0,0,7861
44,24,3,744,1,1,1,3,2,14,3,3,0,9,5,3,5,2,1,4,3708
47,3,3,746,4,3,4,3,9,12,3,4,2,28,2,2,22,2,11,13,13770
30,27,5,747,3,3,2,4,7,23,4,4,1,10,2,2,8,7,7,7,5304
29,10,3,749,3,3,1,3,1,11,3,3,0,1,6,3,1,0,0,0,2642
42,19,3,752,3,4,1,3,6,12,3,4,0,7,2,3,2,2,2,2,2759
43,15,3,754,4,2,2,4,3,18,3,3,1,7,5,3,2,2,2,2,6804
34,8,2,757,2,3,2,3,3,11,3,4,0,10,2,3,5,1,4,3,6142
23,9,1,758,2,3,1,1,1,14,3,4,1,5,2,4,4,3,0,2,2500
39,3,3,760,3,4,2,2,9,15,3,3,1,12,3,1,8,3,3,6,6389
56,9,3,762,3,3,4,4,7,11,3,3,0,30,1,2,10,7,1,1,11103
40,2,1,763,4,2,1,4,0,20,4,4,0,5,2,2,4,2,2,3,2342
27,7,3,764,4,2,2,1,8,19,3,1,0,9,2,1,7,6,0,7,6811
29,10,3,766,4,3,1,2,1,14,3,4,2,2,2,3,2,2,2,2,2297
53,6,3,769,4,3,2,4,2,17,3,4,0,19,4,3,2,2,2,2,2450
35,2,4,771,4,3,2,1,2,11,3,1,1,16,2,4,1,0,0,0,5093
32,24,4,772,1,3,2,4,1,15,3,4,2,10,2,3,10,8,4,7,5309
38,2,5,773,4,3,1,3,6,13,3,2,1,6,0,1,1,0,0,1,3057
34,8,5,775,2,3,2,1,3,14,3,3,1,7,3,3,0,0,0,0,5121
52,3,4,776,3,2,4,1,1,11,3,1,0,34,3,4,34,6,1,16,16856
33,1,4,780,4,3,1,4,1,13,3,3,0,10,2,2,10,9,7,8,2686
25,26,1,781,3,3,2,4,1,23,4,2,0,6,5,2,6,5,1,4,6180
45,2,2,783,2,1,2,3,0,13,3,1,0,9,3,3,8,7,3,1,6632
23,10,1,784,1,4,1,3,1,18,3,4,0,2,3,3,2,2,0,2,3505
47,27,2,785,2,4,2,3,4,12,3,4,0,8,2,3,5,4,1,3,6397
34,2,3,786,4,3,2,4,1,22,4,3,0,6,5,3,6,5,1,4,6274
55,2,3,787,4,3,5,1,5,13,3,4,1,24,2,3,5,2,1,4,19859
36,8,4,789,1,2,3,1,1,15,3,2,0,10,1,3,10,7,0,9,7587
52,19,4,791,4,3,1,4,0,18,3,1,1,5,3,3,4,3,1,2,4258
26,1,2,792,1,1,1,4,3,14,3,1,1,5,2,3,2,2,2,0,4364
29,27,3,793,2,3,2,3,4,12,3,1,1,11,3,2,8,7,1,1,4335
26,8,3,796,4,2,2,1,6,17,3,3,0,6,2,2,4,3,1,2,5326
34,1,4,797,2,4,1,4,2,16,3,3,0,10,2,3,4,2,1,3,3280
54,19,4,799,4,3,2,1,9,11,3,2,2,9,4,3,5,3,1,4,5485
27,8,1,800,3,3,2,4,0,19,3,2,1,5,3,3,4,2,1,1,4342
37,10,1,802,4,3,1,1,0,13,3,2,2,6,3,2,5,3,4,3,2782
38,2,4,803,1,4,2,1,6,12,3,4,0,17,2,3,15,7,4,12,5980
34,2,4,804,3,2,1,1,1,11,3,3,0,6,3,3,6,5,1,3,4381
35,8,4,805,1,3,1,4,1,16,3,2,1,3,1,2,3,2,0,2,2572
30,1,3,806,4,1,1,3,3,21,4,3,2,7,2,3,2,2,0,2,3833
40,2,2,807,3,4,2,2,1,24,4,4,1,8,2,3,8,7,3,7,4244
34,8,2,808,3,3,2,1,5,17,3,2,1,6,1,3,3,2,1,2,6500
42,8,3,809,2,3,5,4,1,13,3,2,1,24,4,2,24,7,14,9,18430
23,6,3,811,3,4,1,1,1,21,4,3,2,1,2,3,0,0,0,0,1601
24,9,3,812,3,2,1,2,1,11,3,3,3,1,4,3,1,0,0,0,2694
52,11,4,813,4,3,2,3,8,20,4,2,1,9,3,3,5,2,1,4,3149
50,2,3,815,3,3,4,3,5,16,3,4,0,30,3,3,4,3,0,3,17639
29,1,2,816,2,2,1,1,1,11,3,4,1,1,1,3,1,0,0,0,2319
33,7,3,817,3,3,3,3,0,11,3,4,0,14,3,4,13,9,3,7,11691
33,16,3,819,1,3,2,1,5,15,3,3,0,6,3,3,3,2,0,2,5324
47,2,2,820,3,3,4,4,1,11,3,3,1,26,3,2,26,14,3,0,16752
36,1,3,823,3,3,2,2,0,15,3,1,1,10,2,3,9,7,0,5,5228
29,23,2,824,3,4,1,3,1,24,4,3,1,10,3,3,10,7,0,7,2700
58,2,4,825,4,3,5,2,7,12,3,4,0,40,2,3,31,15,13,8,19246
35,1,4,826,4,4,1,3,3,13,3,3,0,7,0,3,2,2,2,2,2506
42,1,2,827,4,2,2,4,9,13,3,4,1,8,4,3,4,3,0,2,6062
28,2,4,828,3,3,1,3,6,17,3,4,0,5,3,2,2,2,2,1,4382
36,13,3,829,3,3,1,2,4,13,3,2,1,8,2,3,5,2,0,4,2143
32,4,3,830,3,2,2,3,1,12,3,3,1,14,3,3,14,13,6,8,6162
40,16,4,832,1,2,2,3,6,14,3,4,0,10,6,3,1,0,0,0,5094
30,2,3,833,3,2,2,4,5,24,4,2,0,12,4,2,0,0,0,0,6877
45,2,3,834,2,2,1,3,1,14,3,4,0,1,3,3,1,0,0,0,2274
42,29,3,836,2,3,2,2,1,13,3,4,1,10,3,2,9,8,7,8,4434
38,12,3,837,1,2,2,1,2,15,3,3,1,13,3,2,4,3,1,2,6288
34,16,4,838,3,2,1,4,1,16,3,3,0,6,3,3,5,2,1,3,2553
49,11,3,840,3,3,3,4,1,18,3,1,2,9,3,4,9,8,7,7,7654
55,2,1,842,3,3,2,4,4,16,3,3,0,12,3,2,9,7,7,3,5160
43,14,2,843,2,3,4,1,6,24,4,3,1,22,3,3,4,1,1,0,17159
27,5,1,844,3,2,3,4,1,16,3,2,1,9,3,3,9,8,0,8,12808
35,7,3,845,3,3,3,3,3,21,4,2,0,17,3,4,8,5,1,6,10221
28,2,4,846,2,3,2,2,1,20,4,1,0,8,2,3,8,7,7,5,4779
34,3,2,847,3,3,1,4,0,19,3,3,1,4,1,1,3,2,0,2,3737
26,5,2,848,3,2,1,3,1,14,3,1,1,8,2,3,8,7,1,7,2366
27,3,3,850,4,3,1,4,1,11,3,3,3,0,6,2,0,0,0,0,1706
51,26,4,851,1,3,4,3,2,14,3,3,1,29,2,2,20,6,4,17,16307
44,4,3,852,4,3,2,2,9,12,3,4,0,10,2,2,5,2,2,3,5933
25,2,1,854,1,4,1,1,7,13,3,3,0,6,3,2,4,3,0,1,3424
33,1,3,855,1,4,2,1,1,22,4,1,1,9,5,3,9,8,0,8,4037
35,27,1,856,3,2,1,1,1,11,3,4,0,6,3,2,6,5,1,1,2559
36,1,2,857,2,3,2,4,1,14,3,4,1,18,1,2,18,14,4,11,6201
32,13,4,859,2,3,2,4,2,11,3,3,1,8,3,2,5,2,0,3,4403
30,5,4,861,2,2,1,4,9,12,3,2,1,10,3,2,5,4,0,3,3761
53,7,2,862,1,2,3,4,7,18,3,4,1,35,3,3,5,2,0,4,10934
45,9,3,864,4,3,3,1,4,12,3,3,1,18,2,3,5,4,0,2,10761
32,8,2,865,3,4,2,3,5,12,3,3,1,9,3,2,5,3,1,3,5175
52,25,4,867,3,2,4,4,3,22,4,3,0,31,3,3,9,8,0,0,13826
37,16,4,868,4,2,2,3,4,19,3,4,2,9,2,3,1,0,0,0,6334
28,8,2,869,2,2,1,4,1,13,3,4,1,6,6,3,5,1,0,4,4936
22,1,2,872,4,2,2,4,6,22,4,1,2,4,2,1,2,2,2,2,4775
44,8,4,874,1,4,1,4,2,24,4,3,1,10,2,2,3,2,0,2,2818
42,2,1,875,2,3,1,4,5,14,3,4,0,8,2,3,2,1,2,2,2515
36,8,3,878,1,2,1,1,0,21,4,3,0,6,3,3,5,4,0,3,2342
25,3,1,879,3,3,2,1,1,18,3,4,0,5,3,3,5,3,0,3,4194
35,9,3,880,4,2,3,3,1,20,4,2,1,17,2,3,17,14,5,15,10685
35,25,4,881,4,3,1,2,1,19,3,1,1,10,3,2,10,2,7,8,2022
32,1,3,882,4,3,1,4,0,12,3,2,1,4,2,3,3,0,0,2,2314
